Date,Revenue,Expenses,Profit
2026-01-01,25795,22912,2883
2026-01-02,10860,16394,-5534
2026-01-03,48158,8556,39602
2026-01-04,21284,8890,12394
2026-01-05,16265,13838,2427
2026-01-06,26850,19502,7348
2026-01-07,47194,26777,20417
2026-01-08,31962,15627,16335
2026-01-09,26023,13792,12231
2026-01-10,11685,15555,-3870
2026-01-11,10769,15253,-4484
2026-01-12,12433,13433,-1000
2026-01-13,15311,15233,78
2026-01-14,47819,16016,31803
2026-01-15,49188,28897,20291
2026-01-16,27568,7612,19956
2026-01-17,29769,28425,1344
2026-01-18,38693,27619,11074
2026-01-19,16396,26870,-10474
2026-01-20,37480,28483,8997
2026-01-21,35658,20787,14871
2026-01-22,28942,22159,6783
2026-01-23,28431,17206,11225
2026-01-24,12747,13226,-479
2026-01-25,10189,19541,-9352
2026-01-26,29118,8152,20966
2026-01-27,45773,6585,39188
2026-01-28,11899,8943,2956
2026-01-29,11267,28939,-17672
2026-01-30,41551,24457,17094
